Chromosome	Length	Name	Haplotype	Shape
4	10198597	WA92-74_hapD	HapD	alpha
5	10715926	WA92-74_hapD	HapD	alpha
6	8945582	WA92-74_hapD	HapD	alpha
7	9170789	WA92-74_hapD	HapD	alpha
8	4928557	WA92-74_hapD	HapD	alpha
9	11006052	WA92-74_hapD	HapD	alpha
10	8705458	WA92-74_hapD	HapD	alpha
11	8586359	WA92-74_hapD	HapD	alpha
12	5490655	WA92-74_hapD	HapD	alpha
13	7645950	WA92-74_hapD	HapD	alpha
14	5314091	WA92-74_hapD	HapD	alpha
15	4519166	WA92-74_hapD	HapD	alpha
16	5320868	WA92-74_hapD	HapD	alpha
17	4997463	WA92-74_hapD	HapD	alpha
18	5024996	WA92-74_hapD	HapD	alpha
1	9290041	WA92-74_hapE	HapE	alpha
2	10144694	WA92-74_hapE	HapE	alpha
3	9015511	WA92-74_hapE	HapE	alpha
4	10203180	WA92-74_hapE	HapE	alpha
5	10462915	WA92-74_hapE	HapE	alpha
6	9003778	WA92-74_hapE	HapE	alpha
7	9041155	WA92-74_hapE	HapE	alpha
8	8138212	WA92-74_hapE	HapE	alpha
9	11724656	WA92-74_hapE	HapE	alpha
10	9358677	WA92-74_hapE	HapE	alpha
11	8208310	WA92-74_hapE	HapE	alpha
12	5920003	WA92-74_hapE	HapE	alpha
13	7631810	WA92-74_hapE	HapE	alpha
14	5201049	WA92-74_hapE	HapE	alpha
15	4746850	WA92-74_hapE	HapE	alpha
16	5247208	WA92-74_hapE	HapE	alpha
17	4731574	WA92-74_hapE	HapE	alpha
18	5183856	WA92-74_hapE	HapE	alpha
1	10041524	VA93-27_hapC	HapC	beta
2	10572824	VA93-27_hapC	HapC	beta
3	9233987	VA93-27_hapC	HapC	beta
4	10958396	VA93-27_hapC	HapC	beta
5	10905844	VA93-27_hapC	HapC	beta
6	9728499	VA93-27_hapC	HapC	beta
7	9157461	VA93-27_hapC	HapC	beta
8	8729314	VA93-27_hapC	HapC	beta
9	10325870	VA93-27_hapC	HapC	beta
10	9405579	VA93-27_hapC	HapC	beta
11	8190878	VA93-27_hapC	HapC	beta
12	5665995	VA93-27_hapC	HapC	beta
13	7730005	VA93-27_hapC	HapC	beta
14	5292867	VA93-27_hapC	HapC	beta
15	4616970	VA93-27_hapC	HapC	beta
16	5406915	VA93-27_hapC	HapC	beta
17	4860988	VA93-27_hapC	HapC	beta
18	5091247	VA93-27_hapC	HapC	beta
1	10329023	VA93-27_hapB	HapB	coop
2	11585513	VA93-27_hapB	HapB	coop
3	9443739	VA93-27_hapB	HapB	coop
4	10392407	VA93-27_hapB	HapB	coop
5	10769732	VA93-27_hapB	HapB	coop
6	9379503	VA93-27_hapB	HapB	coop
7	9462505	VA93-27_hapB	HapB	coop
8	8492262	VA93-27_hapB	HapB	coop
9	11495795	VA93-27_hapB	HapB	coop
10	9727906	VA93-27_hapB	HapB	coop
11	7821487	VA93-27_hapB	HapB	coop
12	5763439	VA93-27_hapB	HapB	coop
13	7524842	VA93-27_hapB	HapB	coop
14	5292932	VA93-27_hapB	HapB	coop
15	4618688	VA93-27_hapB	HapB	coop
16	5539940	VA93-27_hapB	HapB	coop
17	4731986	VA93-27_hapB	HapB	coop
18	5038098	VA93-27_hapB	HapB	coop
1	10311765	TX94-4_hapB	HapB	delta
2	11468995	TX94-4_hapB	HapB	delta
3	9399486	TX94-4_hapB	HapB	delta
4	10354348	TX94-4_hapB	HapB	delta
5	10772586	TX94-4_hapB	HapB	delta
6	9270029	TX94-4_hapB	HapB	delta
7	9449872	TX94-4_hapB	HapB	delta
8	8482663	TX94-4_hapB	HapB	delta
9	11563580	TX94-4_hapB	HapB	delta
10	9699113	TX94-4_hapB	HapB	delta
11	7804793	TX94-4_hapB	HapB	delta
12	5745332	TX94-4_hapB	HapB	delta
13	7525209	TX94-4_hapB	HapB	delta
14	5281242	TX94-4_hapB	HapB	delta
15	4605416	TX94-4_hapB	HapB	delta
16	5502721	TX94-4_hapB	HapB	delta
17	4739514	TX94-4_hapB	HapB	delta
18	5031643	TX94-4_hapB	HapB	delta
1	9861249	TX94-4_hapA	HapA	beta
2	10063820	TX94-4_hapA	HapA	beta
3	9378009	TX94-4_hapA	HapA	beta
4	10839902	TX94-4_hapA	HapA	beta
5	10772318	TX94-4_hapA	HapA	beta
6	9370258	TX94-4_hapA	HapA	beta
7	9220856	TX94-4_hapA	HapA	beta
8	7878754	TX94-4_hapA	HapA	beta
9	10573957	TX94-4_hapA	HapA	beta
10	9684816	TX94-4_hapA	HapA	beta
11	7876953	TX94-4_hapA	HapA	beta
12	5507805	TX94-4_hapA	HapA	beta
13	7089760	TX94-4_hapA	HapA	beta
14	5216198	TX94-4_hapA	HapA	beta
15	4440375	TX94-4_hapA	HapA	beta
16	5349110	TX94-4_hapA	HapA	beta
17	4616621	TX94-4_hapA	HapA	beta
18	4956870	TX94-4_hapA	HapA	beta
1	9813224	China_hapH	HapH	alpha
2	9894489	China_hapH	HapH	alpha
3	9219447	China_hapH	HapH	alpha
4	9675124	China_hapH	HapH	alpha
5	10142260	China_hapH	HapH	alpha
6	8886452	China_hapH	HapH	alpha
7	9172587	China_hapH	HapH	alpha
8	8403429	China_hapH	HapH	alpha
9	11150109	China_hapH	HapH	alpha
10	8944158	China_hapH	HapH	alpha
11	8401896	China_hapH	HapH	alpha
12	5883038	China_hapH	HapH	alpha
13	7638319	China_hapH	HapH	alpha
14	5207163	China_hapH	HapH	alpha
15	4467764	China_hapH	HapH	alpha
16	5092677	China_hapH	HapH	alpha
17	4944181	China_hapH	HapH	alpha
18	4991160	China_hapH	HapH	alpha
1	9888472	China_hapI	HapI	alpha
2	10418346	China_hapI	HapI	alpha
3	9281126	China_hapI	HapI	alpha
4	11374405	China_hapI	HapI	alpha
5	11126584	China_hapI	HapI	alpha
6	8767883	China_hapI	HapI	alpha
7	9197080	China_hapI	HapI	alpha
8	8588833	China_hapI	HapI	alpha
9	10192267	China_hapI	HapI	alpha
10	9664249	China_hapI	HapI	alpha
11	8191854	China_hapI	HapI	alpha
12	5751646	China_hapI	HapI	alpha
13	7716431	China_hapI	HapI	alpha
14	5387178	China_hapI	HapI	alpha
15	4683884	China_hapI	HapI	alpha
16	5229848	China_hapI	HapI	alpha
17	5061802	China_hapI	HapI	alpha
18	4760901	China_hapI	HapI	alpha
1	9964469	Ger5_hapJ	HapJ	alpha
2	10134766	Ger5_hapJ	HapJ	alpha
3	9182957	Ger5_hapJ	HapJ	alpha
4	10239084	Ger5_hapJ	HapJ	alpha
5	10397174	Ger5_hapJ	HapJ	alpha
6	9072155	Ger5_hapJ	HapJ	alpha
7	9084725	Ger5_hapJ	HapJ	alpha
8	8455758	Ger5_hapJ	HapJ	alpha
9	12056733	Ger5_hapJ	HapJ	alpha
10	8843406	Ger5_hapJ	HapJ	alpha
11	7760820	Ger5_hapJ	HapJ	alpha
12	5420457	Ger5_hapJ	HapJ	alpha
13	7705901	Ger5_hapJ	HapJ	alpha
14	5396401	Ger5_hapJ	HapJ	alpha
15	4557910	Ger5_hapJ	HapJ	alpha
16	5565694	Ger5_hapJ	HapJ	alpha
17	4845616	Ger5_hapJ	HapJ	alpha
18	5138291	Ger5_hapJ	HapJ	alpha
1	9917610	Ger5_hapK	HapK	alpha
2	10145975	Ger5_hapK	HapK	alpha
3	9386047	Ger5_hapK	HapK	alpha
4	9987250	Ger5_hapK	HapK	alpha
5	10510410	Ger5_hapK	HapK	alpha
6	9388606	Ger5_hapK	HapK	alpha
7	9442363	Ger5_hapK	HapK	alpha
8	8103104	Ger5_hapK	HapK	alpha
9	11245827	Ger5_hapK	HapK	alpha
10	9091427	Ger5_hapK	HapK	alpha
11	8184364	Ger5_hapK	HapK	alpha
12	5961180	Ger5_hapK	HapK	alpha
13	7771034	Ger5_hapK	HapK	alpha
14	5026490	Ger5_hapK	HapK	alpha
15	4414021	Ger5_hapK	HapK	alpha
16	5219859	Ger5_hapK	HapK	alpha
17	4824018	Ger5_hapK	HapK	alpha
18	4959043	Ger5_hapK	HapK	alpha
1	10074515	Neth202_hapL	HapL	alpha
2	9907360	Neth202_hapL	HapL	alpha
3	9398786	Neth202_hapL	HapL	alpha
4	10644287	Neth202_hapL	HapL	alpha
5	9974038	Neth202_hapL	HapL	alpha
6	8939049	Neth202_hapL	HapL	alpha
7	9469098	Neth202_hapL	HapL	alpha
8	8357855	Neth202_hapL	HapL	alpha
9	11048859	Neth202_hapL	HapL	alpha
10	9518725	Neth202_hapL	HapL	alpha
11	8068022	Neth202_hapL	HapL	alpha
12	5537393	Neth202_hapL	HapL	alpha
13	7195446	Neth202_hapL	HapL	alpha
14	5141124	Neth202_hapL	HapL	alpha
15	4702341	Neth202_hapL	HapL	alpha
16	5668680	Neth202_hapL	HapL	alpha
17	4768758	Neth202_hapL	HapL	alpha
18	4865099	Neth202_hapL	HapL	alpha
1	9745805	Neth202_hapM	HapM	alpha
2	10034615	Neth202_hapM	HapM	alpha
3	9883060	Neth202_hapM	HapM	alpha
4	10304389	Neth202_hapM	HapM	alpha
5	10647859	Neth202_hapM	HapM	alpha
6	8979911	Neth202_hapM	HapM	alpha
7	9273365	Neth202_hapM	HapM	alpha
8	8538629	Neth202_hapM	HapM	alpha
9	11478270	Neth202_hapM	HapM	alpha
10	9665519	Neth202_hapM	HapM	alpha
11	7833307	Neth202_hapM	HapM	alpha
12	5540460	Neth202_hapM	HapM	alpha
13	7118614	Neth202_hapM	HapM	alpha
14	5502968	Neth202_hapM	HapM	alpha
15	4433473	Neth202_hapM	HapM	alpha
16	5303401	Neth202_hapM	HapM	alpha
17	4475482	Neth202_hapM	HapM	alpha
18	4633810	Neth202_hapM	HapM	alpha
1	12878211	VA82_hapD	HapD	beta
2	9790837	VA82_hapD	HapD	beta
3	9242124	VA82_hapD	HapD	beta
4	10161247	VA82_hapD	HapD	beta
5	10284478	VA82_hapD	HapD	beta
6	9026744	VA82_hapD	HapD	beta
7	9034970	VA82_hapD	HapD	beta
8	4949386	VA82_hapD	HapD	beta
9	11210462	VA82_hapD	HapD	beta
10	8668027	VA82_hapD	HapD	beta
11	8312922	VA82_hapD	HapD	beta
12	5413704	VA82_hapD	HapD	beta
13	7236410	VA82_hapD	HapD	beta
14	5317025	VA82_hapD	HapD	beta
15	4518760	VA82_hapD	HapD	beta
16	5368574	VA82_hapD	HapD	beta
17	4871660	VA82_hapD	HapD	beta
18	4402480	VA82_hapD	HapD	beta
1	9955092	VA82_hapE	HapE	beta
2	10174730	VA82_hapE	HapE	beta
3	9052684	VA82_hapE	HapE	beta
4	10187080	VA82_hapE	HapE	beta
5	10398805	VA82_hapE	HapE	beta
6	8769630	VA82_hapE	HapE	beta
7	8891666	VA82_hapE	HapE	beta
8	7606176	VA82_hapE	HapE	beta
9	11842187	VA82_hapE	HapE	beta
10	9023188	VA82_hapE	HapE	beta
11	8220719	VA82_hapE	HapE	beta
12	5892767	VA82_hapE	HapE	beta
13	7497891	VA82_hapE	HapE	beta
14	5141989	VA82_hapE	HapE	beta
15	4779609	VA82_hapE	HapE	beta
16	5281418	VA82_hapE	HapE	beta
17	4822165	VA82_hapE	HapE	beta
18	4940339	VA82_hapE	HapE	beta
