chr	start	end	name	colour
chr10F	472862	473320	FUN_023823	'#ff0000'
chr10F	481175	492696	FUN_023824	'#ff0000'
chr10F	492911	494122	FUN_023825	'#ff0000'
chr10F	510023	510455	FUN_023826	'#ff0000'
chr10F	525981	527100	FUN_023827	'#ff0000'
chr10F	527109	527691	FUN_023828	'#ff0000'
chr10F	542180	543902	FUN_023829	'#ff0000'
chr10F	544152	547571	FUN_023830	'#ff0000'
chr10F	553834	557221	FUN_023831	'#ff0000'
chr10F	568242	570799	FUN_023832	'#ff0000'
chr10F	596088	596177	FUN_023833	'#ff0000'
chr10F	599803	600214	FUN_023834	'#ff0000'
chr10F	606841	607437	FUN_023835	'#ff0000'
chr10F	607408	608203	STRG.75^chr10F^+	'#ff0000'
chr10F	613442	616098	FUN_023837	'#ff0000'
chr10F	616489	617727	FUN_023838	'#ff0000'
chr10F	628000	628928	FUN_023839	'#ff0000'
chr10F	632196	633612	FUN_023840	'#ff0000'
chr10F	633745	635816	FUN_023841	'#ff0000'
chr10F	641659	642887	FUN_023842	'#ff0000'
chr10F	643930	644355	FUN_023843	'#ff0000'
chr10F	646001	650822	FUN_023844	'#ff0000'
chr10F	652532	654500	FUN_023845	'#ff0000'
chr10F	654542	655497	FUN_023846	'#ff0000'
chr10F	668943	669894	STRG.87^chr10F^-	'#ff0000'
chr10F	673177	673490	STRG.88^chr10F^-	'#ff0000'
chr10F	708834	711787	FUN_023847	'#ff0000'
chr10F	727809	730105	FUN_023848	'#ff0000'
chr10F	731651	731961	STRG.97^chr10F^+	'#ff0000'
chr10F	733057	733973	FUN_023849	'#ff0000'
chr10F	749126	749977	FUN_023850	'#ff0000'
chr10F	751127	756464	FUN_023851	'#ff0000'
chr10F	762054	763399	STRG.102^chr10F^+	'#ff0000'
chr10F	763654	769252	FUN_023853	'#ff0000'
chr10F	774103	775762	FUN_023854	'#ff0000'
chr10F	775854	776299	FUN_023855	'#ff0000'
chr10F	776945	777760	FUN_023856	'#ff0000'
chr10F	778334	779451	FUN_023857	'#ff0000'
chr10F	783789	784354	FUN_023858	'#ff0000'
chr10F	784608	785061	FUN_023859	'#ff0000'
chr10F	785086	785485	FUN_023860	'#ff0000'
chr10F	786686	789577	FUN_023861	'#ff0000'
chr10F	790168	790468	FUN_023862	'#ff0000'
chr10F	797421	800557	STRG.115^chr10F^-	'#ff0000'
chr10F	806407	809293	FUN_023864	'#ff0000'
chr10F	811804	812287	FUN_023865	'#ff0000'
chr10F	815668	819325	FUN_023866	'#ff0000'
chr10F	819395	820604	FUN_023867	'#ff0000'
chr10F	839675	840756	FUN_023868	'#ff0000'
chr10F	843858	847408	FUN_023869	'#ff0000'
chr10F	847613	849196	STRG.125^chr10F^+	'#ff0000'
chr10F	909151	910435	FUN_023870	'#ff0000'
chr10F	911430	912682	FUN_023871	'#ff0000'
chr10F	913686	914455	FUN_023872	'#ff0000'
chr10F	915127	915697	FUN_023873	'#ff0000'
chr10F	915924	917035	FUN_023874	'#ff0000'
chr10F	917169	918086	FUN_023875	'#ff0000'
chr10F	927491	928597	FUN_023876	'#ff0000'
chr10F	938827	939133	FUN_023877	'#ff0000'
chr10F	941084	942076	FUN_023878	'#ff0000'
chr10F	942467	945267	FUN_023879	'#ff0000'
chr10F	952376	954260	FUN_023880	'#ff0000'
chr10F	956863	958609	FUN_023881	'#ff0000'
chr10F	959730	960712	FUN_023882	'#ff0000'
chr10F	960792	961837	FUN_023883	'#ff0000'
chr10F	964184	966006	FUN_023884	'#ff0000'
chr10F	966675	968400	FUN_023885	'#ff0000'
chr10F	979630	979822	FUN_023886	'#ff0000'
chr10F	980132	983709	FUN_023887	'#ff0000'
chr10F	998982	1000027	FUN_023888	'#ff0000'
chr10F	1021441	1022051	FUN_023889	'#ff0000'
chr10F	1031590	1032512	FUN_023890	'#ff0000'
chr10F	1032569	1033156	FUN_023891	'#ff0000'
chr10F	1076953	1077540	FUN_023892	'#ff0000'
chr10F	1077597	1078519	FUN_023893	'#ff0000'
chr10F	1089035	1089688	FUN_023894	'#ff0000'
chr10F	1134603	1135972	FUN_023895	'#ff0000'
chr10F	1136271	1137841	FUN_023896	'#ff0000'
chr10F	1137925	1138598	FUN_023897	'#ff0000'
chr10F	1142508	1143434	STRG.151^chr10F^+	'#ff0000'
chr10F	1143596	1144105	FUN_023899	'#ff0000'
chr10F	1144156	1145103	STRG.152^chr10F^+	'#ff0000'
chr10F	1146733	1147006	FUN_023901	'#ff0000'
chr10F	1147035	1147865	FUN_023902	'#ff0000'
chr10F	1148268	1154635	FUN_023903	'#ff0000'
chr10F	1161930	1163803	FUN_023904	'#ff0000'
chr10F	1202787	1203321	FUN_023905	'#ff0000'
chr10F	1204256	1207468	FUN_023906	'#ff0000'
chr10F	1207507	1209339	FUN_023907	'#ff0000'
chr10F	1211438	1211527	FUN_023908	'#ff0000'
chr10F	1221007	1222683	FUN_023909	'#ff0000'
chr10F	1232772	1235064	FUN_023910	'#ff0000'
chr10F	1239448	1240335	FUN_023911	'#ff0000'
chr10F	1240897	1243212	FUN_023912	'#ff0000'
chr10F	1243347	1246104	FUN_023913	'#ff0000'
chr10F	1263027	1263839	FUN_023914	'#ff0000'
chr10F	1265290	1267516	FUN_023915	'#ff0000'
chr10F	1274107	1274533	FUN_023916	'#ff0000'
chr10F	1301295	1301384	FUN_023917	'#ff0000'
chr10F	1302940	1304566	FUN_023918	'#ff0000'
chr10F	1305050	1306442	FUN_023919	'#ff0000'
chr10F	1310999	1313141	STRG.174^chr10F^+	'#ff0000'
chr10F	1312864	1314555	FUN_023920	'#ff0000'
chr10F	1314655	1315642	FUN_023921	'#ff0000'
chr10F	1315731	1318714	FUN_023922	'#ff0000'
chr10F	1327056	1327495	FUN_023923	'#ff0000'
chr10F	1334716	1338517	FUN_023924	'#ff0000'
chr10F	1339095	1343015	STRG.177^chr10F^-	'#ff0000'
chr10F	1346855	1348336	FUN_023926	'#ff0000'
chr10F	1359084	1360813	FUN_023927	'#ff0000'
chr10F	1365055	1366199	FUN_023928	'#ff0000'
chr10F	1403181	1403907	FUN_023929	'#ff0000'
chr10F	1404348	1405003	FUN_023930	'#ff0000'
chr10F	1405079	1406131	FUN_023931	'#ff0000'
chr10F	1407126	1407418	FUN_023932	'#ff0000'
chr10F	1416684	1419074	FUN_023933	'#ff0000'
chr10F	1430700	1434933	FUN_023934	'#ff0000'
chr10F	1468806	1469579	FUN_023935	'#ff0000'
chr10F	1471404	1471967	FUN_023936	'#ff0000'
chr10F	1473223	1474464	FUN_023937	'#ff0000'
chr10F	1474696	1475069	FUN_023938	'#ff0000'
chr10F	1481615	1483208	STRG.190^chr10F^+	'#ff0000'
chr10F	1493967	1494575	FUN_023940	'#ff0000'
chr10F	1494161	1496154	STRG.196^chr10F^-	'#ff0000'
chr10F	1496164	1496481	FUN_023942	'#ff0000'
chr10F	1497833	1498359	FUN_023943	'#ff0000'
chr10F	1504160	1506592	FUN_023944	'#ff0000'
chr10F	1509264	1509876	FUN_023945	'#ff0000'
chr10F	1510204	1510708	FUN_023946	'#ff0000'
chr10F	1510937	1511485	FUN_023947	'#ff0000'
chr10F	1519638	1520076	FUN_023948	'#ff0000'
chr10F	1542837	1543478	FUN_023949	'#ff0000'
chr10F	1549876	1553576	FUN_023950	'#ff0000'
chr10F	1586554	1586644	FUN_023951	'#ff0000'
chr10F	1586767	1587641	FUN_023952	'#ff0000'
chr10F	1590263	1590822	FUN_023953	'#ff0000'
chr10F	1596218	1601045	STRG.215^chr10F^+	'#ff0000'
chr10F	1603322	1604629	FUN_023955	'#ff0000'
chr10F	1607683	1609370	FUN_023956	'#ff0000'
chr10F	1609817	1611319	FUN_023957	'#ff0000'
chr10F	1612822	1614752	FUN_023958	'#ff0000'
chr10F	1623741	1625708	FUN_023959	'#ff0000'
chr10F	1626603	1627805	FUN_023960	'#ff0000'
chr10F	1635913	1636774	FUN_023961	'#ff0000'
chr10F	1653261	1654129	FUN_023962	'#ff0000'
chr10F	1673581	1674783	FUN_023963	'#ff0000'
chr10F	1675678	1677642	FUN_023964	'#ff0000'
chr10F	1687332	1689660	FUN_023965	'#ff0000'
chr10F	1700679	1702481	STRG.232^chr10F^+	'#ff0000'
chr10F	1703097	1704183	FUN_023966	'#ff0000'
chr10F	1706396	1707272	FUN_023967	'#ff0000'
chr10F	1707656	1709590	FUN_023968	'#ff0000'
chr10F	1717455	1722247	FUN_023969	'#ff0000'
chr10F	1722844	1723949	FUN_023970	'#ff0000'
chr10F	1725649	1728170	STRG.239^chr10F^-	'#ff0000'
chr10F	1729404	1729910	FUN_023972	'#ff0000'
chr10F	1753331	1756151	STRG.242^chr10F^-	'#ff0000'
chr10F	1754613	1755024	FUN_023974	'#ff0000'
chr10F	1758182	1758410	FUN_023975	'#ff0000'
chr10F	1759430	1760947	FUN_023976	'#ff0000'
chr10F	1766935	1767959	FUN_023977	'#ff0000'
chr10F	1768268	1769448	FUN_023978	'#ff0000'
chr10F	1775151	1777876	FUN_023979	'#ff0000'
chr10F	1778773	1780270	FUN_023980	'#ff0000'
chr10F	1790095	1794741	STRG.248^chr10F^-	'#ff0000'
chr10F	1792877	1793524	FUN_023982	'#ff0000'
chr10F	1793868	1794631	FUN_023983	'#ff0000'
chr10F	1795528	1796705	FUN_023984	'#ff0000'
chr10F	1799787	1802351	FUN_023985	'#ff0000'
chr10F	1803189	1805070	FUN_023986	'#ff0000'
chr10F	1806378	1809891	FUN_023987	'#ff0000'
chr10F	1810056	1813131	FUN_023988	'#ff0000'
chr10F	1818080	1818512	FUN_023989	'#ff0000'
chr10F	1821176	1823082	FUN_023990	'#ff0000'
chr10F	1830689	1831233	FUN_023991	'#ff0000'
chr10F	1854601	1855581	FUN_023992	'#ff0000'
chr10F	1855637	1857177	FUN_023993	'#ff0000'
chr10F	1870466	1871902	FUN_023994	'#ff0000'
chr10F	1889301	1891835	STRG.254^chr10F^-	'#ff0000'
chr10F	1901608	1902989	FUN_023996	'#ff0000'
chr10F	1904132	1905887	FUN_023997	'#ff0000'
chr10F	1907726	1910035	FUN_023998	'#ff0000'
chr10F	1910719	1911114	FUN_023999	'#ff0000'
chr10F	1912338	1916313	FUN_024000	'#ff0000'
chr10F	1922454	1923888	FUN_024001	'#ff0000'
chr10F	1924282	1924654	FUN_024002	'#ff0000'
chr10F	1929882	1930415	FUN_024003	'#ff0000'
chr10F	1941325	1946606	FUN_024004	'#ff0000'
chr10F	1954541	1959575	FUN_024005	'#ff0000'
chr10F	1960053	1962317	FUN_024006	'#ff0000'
chr10F	1962823	1963456	FUN_024007	'#ff0000'
chr10F	1971305	1971544	FUN_024008	'#ff0000'
chr10F	1974431	1975632	FUN_024009	'#ff0000'
chr10F	1988392	1990641	FUN_024010	'#ff0000'
chr10F	1992263	1994486	FUN_024011	'#ff0000'
chr10F	1995384	1995953	FUN_024012	'#ff0000'
chr10F	1996542	1997822	FUN_024013	'#ff0000'
chr10F	2001997	2004232	FUN_024014	'#ff0000'
chr10F	2005731	2007074	FUN_024015	'#ff0000'
chr10F	2027272	2027996	FUN_024016	'#ff0000'
chr10F	2046617	2047972	FUN_024017	'#ff0000'
chr10F	2048493	2049308	FUN_024018	'#ff0000'
chr10F	2051439	2052500	FUN_024019	'#ff0000'
chr10F	2055037	2060536	STRG.288^chr10F^-	'#ff0000'
chr10F	2057891	2060407	FUN_024021	'#ff0000'
chr10F	2076197	2081062	FUN_024022	'#ff0000'
chr10F	2080985	2081365	FUN_024023	'#ff0000'
chr10F	2085481	2086012	FUN_024024	'#ff0000'
chr10F	2086033	2086988	FUN_024025	'#ff0000'
chr10F	2103964	2104681	FUN_024026	'#ff0000'
chr10F	2104833	2105241	FUN_024027	'#ff0000'
chr10F	2119036	2120011	FUN_024028	'#ff0000'
chr10F	2156608	2157259	FUN_024029	'#ff0000'
chr10F	2161442	2162719	FUN_024030	'#ff0000'
chr10F	2167873	2170638	FUN_024031	'#ff0000'
chr10F	2171943	2175208	STRG.301^chr10F^-	'#ff0000'
chr10F	2174462	2175024	FUN_024033	'#ff0000'
chr10F	2175241	2179548	FUN_024034	'#ff0000'
chr10F	2183760	2185728	FUN_024035	'#ff0000'
chr10F	2195453	2196169	FUN_024036	'#ff0000'
chr10F	2200161	2201167	FUN_024037	'#ff0000'
chr10F	2207908	2209642	FUN_024038	'#ff0000'
chr10F	2209664	2210097	FUN_024039	'#ff0000'
chr10F	2210677	2215234	FUN_024040	'#ff0000'
chr10F	2233669	2236595	FUN_024041	'#ff0000'
chr10F	2260238	2260697	FUN_024042	'#ff0000'
chr10F	2320166	2321070	FUN_024043	'#ff0000'
chr10F	2331240	2331999	FUN_024044	'#ff0000'
chr10F	2355055	2356967	FUN_024045	'#ff0000'
chr10F	2393130	2396325	STRG.320^chr10F^+	'#ff0000'
chr10F	2400337	2400881	FUN_024047	'#ff0000'
chr10F	2459992	2463139	FUN_024048	'#ff0000'
chr10F	2469278	2469551	FUN_024049	'#ff0000'
chr10F	2491868	2493887	FUN_024050	'#ff0000'
chr10F	2500798	2501431	FUN_024051	'#ff0000'
chr10F	2501779	2505226	FUN_024052	'#ff0000'
chr10F	2505639	2509419	FUN_024053	'#ff0000'
chr10F	2510253	2512367	FUN_024054	'#ff0000'
chr10F	2512747	2514003	FUN_024055	'#ff0000'
chr10F	2514681	2516216	FUN_024056	'#ff0000'
chr10F	2518122	2520571	FUN_024057	'#ff0000'
chr10F	2549929	2552034	FUN_024058	'#ff0000'
chr10F	2554195	2556043	FUN_024059	'#ff0000'
chr10F	2556222	2556776	FUN_024060	'#ff0000'
chr10F	2589632	2591713	FUN_024061	'#ff0000'
chr10F	2614208	2617506	FUN_024062	'#ff0000'
chr10F	2624148	2627236	FUN_024063	'#ff0000'
chr10F	2628221	2628309	FUN_024064	'#ff0000'
chr10F	2635246	2638505	FUN_024065	'#ff0000'
chr10F	2639615	2642806	FUN_024066	'#ff0000'
chr10F	2644410	2647569	FUN_024067	'#ff0000'
chr10F	2679320	2680572	FUN_024068	'#ff0000'
chr10F	2687301	2687841	FUN_024069	'#ff0000'
chr10F	2710276	2710579	FUN_024070	'#ff0000'
chr10F	2712475	2714811	STRG.350^chr10F^-	'#ff0000'
chr10F	2718004	2719458	FUN_024071	'#ff0000'
chr10F	2719711	2720157	FUN_024072	'#ff0000'
chr10F	2724531	2729919	FUN_024073	'#ff0000'
chr10F	2732346	2736479	FUN_024074	'#ff0000'
chr10F	2781876	2782750	FUN_024075	'#ff0000'
chr10F	2783350	2784091	FUN_024076	'#ff0000'
chr10F	2800784	2804696	FUN_024077	'#ff0000'
chr10F	2810129	2810963	FUN_024078	'#ff0000'
chr10F	2814144	2816525	FUN_024079	'#ff0000'
chr10F	2819114	2822027	FUN_024080	'#ff0000'
chr10F	2837477	2840223	FUN_024081	'#ff0000'
chr10F	2896350	2896719	FUN_024082	'#ff0000'
chr10F	2900506	2903016	FUN_024083	'#ff0000'
chr10F	2906708	2907352	FUN_024084	'#ff0000'
chr10F	2910477	2912361	FUN_024085	'#ff0000'
chr10F	2917311	2917728	FUN_024086	'#ff0000'
chr10F	2919799	2922496	FUN_024087	'#ff0000'
chr10F	2939953	2940959	FUN_024088	'#ff0000'
chr10F	2957176	2960308	FUN_024089	'#ff0000'
chr10F	2960637	2961601	FUN_024090	'#ff0000'
chr10F	2961629	2962367	FUN_024091	'#ff0000'
chr10F	2977507	2980485	FUN_024092	'#ff0000'
chr10F	2981513	2981936	FUN_024093	'#ff0000'
chr10F	2982427	2986337	FUN_024094	'#ff0000'
chr10F	2987403	2988570	FUN_024095	'#ff0000'
chr10F	3004781	3005280	FUN_024096	'#ff0000'
chr10F	3024491	3027787	FUN_024097	'#ff0000'
chr10F	3032285	3042331	FUN_024098	'#ff0000'
chr10F	3044380	3044469	FUN_024099	'#ff0000'
chr10F	3056274	3060817	FUN_024100	'#ff0000'
chr10F	3065004	3065451	FUN_024101	'#ff0000'
chr10F	3071711	3073154	FUN_024102	'#ff0000'
chr10F	3083572	3083904	FUN_024103	'#ff0000'
chr10F	3091100	3092163	FUN_024104	'#ff0000'
chr10F	3116054	3116872	FUN_024105	'#ff0000'
chr10F	3117297	3118234	FUN_024106	'#ff0000'
chr10F	3118316	3120696	FUN_024107	'#ff0000'
chr10F	3121349	3121710	FUN_024108	'#ff0000'
chr10F	3124336	3124978	FUN_024109	'#ff0000'
chr10F	3125206	3125927	FUN_024110	'#ff0000'
chr10F	3126166	3127006	FUN_024111	'#ff0000'
chr10F	3143839	3144840	FUN_024112	'#ff0000'
chr10F	3165868	3168127	FUN_024113	'#ff0000'
chr10F	3169492	3171867	FUN_024114	'#ff0000'
chr10F	3172116	3172862	FUN_024115	'#ff0000'
chr10F	3173875	3177916	FUN_024116	'#ff0000'
chr10F	3181173	3185500	FUN_024117	'#ff0000'
chr10F	3192996	3195881	FUN_024118	'#ff0000'
chr10F	3212263	3214387	FUN_024119	'#ff0000'
chr10F	3225534	3226773	FUN_024120	'#ff0000'
chr10F	3241125	3242973	FUN_024121	'#ff0000'
chr10F	3243004	3244151	FUN_024122	'#ff0000'
chr10F	3257839	3260234	FUN_024123	'#ff0000'
chr10F	3263178	3264087	FUN_024124	'#ff0000'
chr10F	3265672	3269235	STRG.394^chr10F^+	'#ff0000'
chr10F	3269097	3269397	FUN_024126	'#ff0000'
chr10F	3269443	3269884	FUN_024127	'#ff0000'
chr10F	3279796	3280379	FUN_024128	'#ff0000'
chr10F	3293612	3296111	FUN_024129	'#ff0000'
chr10F	3303174	3304980	FUN_024130	'#ff0000'
chr10F	3307234	3308480	FUN_024131	'#ff0000'
chr10F	3317186	3317858	FUN_024132	'#ff0000'
chr10F	3331760	3332171	FUN_024133	'#ff0000'
chr10F	3332263	3332653	FUN_024134	'#ff0000'
chr10F	3332903	3333522	FUN_024135	'#ff0000'
chr10F	3333672	3334476	FUN_024136	'#ff0000'
chr10F	3335456	3337789	FUN_024137	'#ff0000'
chr10F	3384591	3385419	FUN_024138	'#ff0000'
chr10F	3392641	3396133	FUN_024139	'#ff0000'
chr10F	3406989	3409589	FUN_024140	'#ff0000'
chr10F	3421953	3422754	FUN_024141	'#ff0000'
chr10F	3426663	3428241	FUN_024142	'#ff0000'
chr10F	3428364	3430995	FUN_024143	'#ff0000'
chr10F	3439019	3441052	FUN_024144	'#ff0000'
chr10F	3446479	3448873	FUN_024145	'#ff0000'
chr10F	3456995	3458691	FUN_024146	'#ff0000'
chr10F	3464945	3466830	FUN_024147	'#ff0000'
chr10F	3466874	3468017	FUN_024148	'#ff0000'
chr10F	3468538	3470320	FUN_024149	'#ff0000'
chr10F	3491568	3495519	FUN_024150	'#ff0000'
chr10F	3521296	3526430	FUN_024151	'#ff0000'
chr10F	3527067	3530305	FUN_024152	'#ff0000'
chr10F	3549464	3551282	FUN_024153	'#ff0000'
chr10F	3555463	3558276	FUN_024154	'#ff0000'
chr10F	3571171	3573158	FUN_024155	'#ff0000'
chr10F	3619249	3623108	FUN_024156	'#ff0000'
chr10F	3628919	3629012	FUN_024157	'#ff0000'
chr10F	3629450	3629840	FUN_024158	'#ff0000'
chr10F	3692879	3693443	FUN_024159	'#ff0000'
chr10F	3693807	3695993	FUN_024160	'#ff0000'
chr10F	3696049	3697335	FUN_024161	'#ff0000'
chr10F	3702711	3708885	FUN_024162	'#ff0000'
chr10F	3710107	3710965	FUN_024163	'#ff0000'
chr10F	3711056	3715584	FUN_024164	'#ff0000'
chr10F	3717365	3717454	FUN_024165	'#ff0000'
chr10F	3717642	3718834	FUN_024166	'#ff0000'
chr10F	3718939	3719222	FUN_024167	'#ff0000'
chr10F	3719330	3719726	FUN_024168	'#ff0000'
chr10F	3721450	3724044	FUN_024169	'#ff0000'
chr10F	3724261	3729490	FUN_024170	'#ff0000'
chr10F	3730034	3734091	FUN_024171	'#ff0000'
chr10F	3734770	3735186	FUN_024172	'#ff0000'
chr10F	3735517	3736038	FUN_024173	'#ff0000'
chr10F	3739960	3740049	FUN_024174	'#ff0000'
chr10F	3741407	3741496	FUN_024175	'#ff0000'
chr10F	3742100	3742189	FUN_024176	'#ff0000'
chr10F	3743099	3745279	FUN_024177	'#ff0000'
chr10F	3746460	3748348	FUN_024178	'#ff0000'
chr10F	3749037	3751263	FUN_024179	'#ff0000'
chr10F	3751589	3752925	FUN_024180	'#ff0000'
chr10F	3753294	3755455	FUN_024181	'#ff0000'
chr10F	3757926	3759641	FUN_024182	'#ff0000'
chr10F	3761422	3761946	FUN_024183	'#ff0000'
chr10F	3824314	3824651	FUN_024184	'#ff0000'
chr10F	3877179	3877620	FUN_024185	'#ff0000'
chr10F	3879366	3880501	FUN_024186	'#ff0000'
chr10F	3948958	3952447	FUN_024187	'#ff0000'
chr10F	3962249	3962553	FUN_024188	'#ff0000'
chr10F	3974068	3976055	FUN_024189	'#ff0000'
chr10F	4031414	4034785	FUN_024190	'#ff0000'
chr10F	4041084	4041177	FUN_024191	'#ff0000'
chr10F	4073647	4073984	FUN_024192	'#ff0000'
chr10F	4104536	4108297	FUN_024193	'#ff0000'
chr10F	4108353	4112316	FUN_024194	'#ff0000'
chr10F	4112421	4112704	FUN_024195	'#ff0000'
chr10F	4112812	4113208	FUN_024196	'#ff0000'
chr10F	4114932	4117526	FUN_024197	'#ff0000'
chr10F	4121413	4122974	FUN_024198	'#ff0000'
chr10F	4123518	4127575	FUN_024199	'#ff0000'
chr10F	4128254	4128670	FUN_024200	'#ff0000'
chr10F	4129001	4129522	FUN_024201	'#ff0000'
chr10F	4131227	4131316	FUN_024202	'#ff0000'
chr10F	4132674	4132763	FUN_024203	'#ff0000'
chr10F	4133367	4133456	FUN_024204	'#ff0000'
chr10F	4134366	4136546	FUN_024205	'#ff0000'
chr10F	4137727	4139615	FUN_024206	'#ff0000'
chr10F	4140304	4144192	FUN_024207	'#ff0000'
chr10F	4144561	4146722	FUN_024208	'#ff0000'
chr10F	4148437	4150152	FUN_024209	'#ff0000'
chr10F	4151932	4152456	FUN_024210	'#ff0000'
chr10F	4224863	4225733	FUN_024211	'#ff0000'
chr10F	4227018	4228614	FUN_024212	'#ff0000'
chr10F	4277285	4280767	FUN_024213	'#ff0000'
chr10F	4287986	4288751	FUN_024214	'#ff0000'
chr10F	4340625	4342326	FUN_024215	'#ff0000'
chr10F	4368587	4369509	FUN_024216	'#ff0000'
chr10F	4374655	4375732	FUN_024217	'#ff0000'
chr10F	4384545	4388034	FUN_024218	'#ff0000'
chr10F	4397179	4397759	FUN_024219	'#ff0000'
chr10F	4397783	4399175	FUN_024220	'#ff0000'
chr10F	4411719	4411933	FUN_024221	'#ff0000'
chr10F	4493147	4493819	FUN_024222	'#ff0000'
chr10F	4499244	4499685	FUN_024223	'#ff0000'
chr10F	4511882	4512935	FUN_024224	'#ff0000'
chr10F	4521216	4521683	FUN_024225	'#ff0000'
chr10F	4527644	4528257	FUN_024226	'#ff0000'
chr10F	4535913	4536885	FUN_024227	'#ff0000'
chr10F	4560832	4561154	FUN_024228	'#ff0000'
chr10F	4569275	4569535	FUN_024229	'#ff0000'
chr10F	4643631	4643999	FUN_024230	'#ff0000'
chr10F	4644780	4645188	FUN_024231	'#ff0000'
chr10F	4670727	4671715	FUN_024232	'#ff0000'
chr10F	4681704	4685163	FUN_024233	'#ff0000'
chr10F	4709464	4709878	FUN_024234	'#ff0000'
chr10F	4736542	4741813	FUN_024235	'#ff0000'
chr10F	4742098	4744444	FUN_024236	'#ff0000'
chr10F	4747854	4751781	FUN_024237	'#ff0000'
chr10F	4760250	4762020	FUN_024238	'#ff0000'
chr10F	4762208	4763684	FUN_024239	'#ff0000'
chr10F	4763805	4764345	FUN_024240	'#ff0000'
chr10F	4765245	4765613	FUN_024241	'#ff0000'
chr10F	4773951	4775647	FUN_024242	'#ff0000'
chr10F	4781789	4784183	FUN_024243	'#ff0000'
chr10F	4798135	4799079	FUN_024244	'#ff0000'
chr10F	4802875	4806179	FUN_024245	'#ff0000'
chr10F	4836450	4836648	FUN_024246	'#ff0000'
chr10F	4846071	4846157	FUN_024247	'#ff0000'
chr10F	4934663	4936152	FUN_024248	'#ff0000'
chr10F	5034966	5036990	STRG.527^chr10F^-	'#ff0000'
chr10F	5036903	5037309	FUN_024250	'#ff0000'
chr10F	5039079	5042022	FUN_024251	'#ff0000'
chr10F	5042111	5042560	FUN_024252	'#ff0000'
chr10F	5046943	5048849	FUN_024253	'#ff0000'
chr10F	5049583	5051829	FUN_024254	'#ff0000'
chr10F	5061562	5064736	FUN_024255	'#ff0000'
chr10F	5064960	5067361	FUN_024256	'#ff0000'
chr10F	5067779	5068338	FUN_024257	'#ff0000'
chr10F	5069900	5070460	FUN_024258	'#ff0000'
chr10F	5103153	5104271	FUN_024259	'#ff0000'
chr10F	5142498	5145587	FUN_024260	'#ff0000'
chr10F	5145904	5148757	FUN_024261	'#ff0000'
chr10F	5186351	5187512	FUN_024262	'#ff0000'
chr10F	5209792	5210564	FUN_024263	'#ff0000'
chr10F	5220368	5222486	FUN_024264	'#ff0000'
